id,company_name,job_title,job_href,location,currency,starting_salary,max_salary,scrape_time
1,eJam,Full Stack Developer,https://himalayas.app/companies/ejam/jobs/full-stack-developer,AR,USD,24000,36000,2024-04-24 13:46:39.835773
2,Storable,Global Payroll & Tax Manager,https://himalayas.app/companies/storable/jobs/global-payroll-tax-manager-9222876330,US,USD,85000,110000,2024-04-24 13:46:39.835773
3,dentsu international,Promotions Quality Assurance Analyst,https://himalayas.app/companies/dentsu-international/jobs/promotions-quality-assurance-analyst,US,USD,59000,96000,2024-04-24 13:46:39.835773
4,John K Estate & Co,"Sales Executive, EMA, Rentals",https://himalayas.app/companies/john-k-estate-co/jobs/sales-executive-ema-rentals,US,USD,71000,71000,2024-04-24 13:46:39.835773
5,Campus Ink,NIL Store Student Social Ambassador,https://himalayas.app/companies/campus-ink/jobs/nil-store-student-social-ambassador,US,USD,3000,3000,2024-04-24 13:46:39.835773
6,Life360,Revenue Accountant,https://himalayas.app/companies/life360/jobs/revenue-accountant,US,USD,95000,105000,2024-04-24 13:46:39.835773
7,ICAST,Executive Assistant,https://himalayas.app/companies/icast/jobs/executive-assistant-7720984595,US,USD,30000,50000,2024-04-24 13:46:39.835773
8,hackerone.com,Senior Corporate Events Manager,https://himalayas.app/companies/hackerone-com/jobs/senior-corporate-events-manager,US,USD,150000,150000,2024-04-24 13:46:39.835773
9,Sibylline Ltd,Embedded Process Integrity Compliance Analyst,https://himalayas.app/companies/sibylline-ltd/jobs/embedded-process-integrity-compliance-analyst-6609111191,US,USD,85000,95000,2024-04-24 13:46:39.835773
10,HealthMark Group,Regional Sales Director,https://himalayas.app/companies/healthmark-group/jobs/regional-sales-director,US,USD,75000,150000,2024-04-24 13:46:39.835773
11,Catchpoint,Sales Development Representative,https://himalayas.app/companies/catchpoint/jobs/sales-development-representative-1209535134,US,USD,75000,75000,2024-04-24 13:46:39.835773
